@relation 2D_dataset

@attribute x numeric
@attribute y numeric
@attribute class {0,1}

@data
9.83,7.28,1
12.96,7.99,1
9.63,11.01,1
7.37,12.61,1
3.31,4.07,1
7.14,11.08,1
11.72,6.55,1
11.31,4.69,1
3.1,7.01,1
6.59,12.07,1
12.09,8.62,1
9.7,9.99,1
11.59,8.43,1
6.02,6.45,1
12.78,5.77,1
6.95,7.23,1
4.53,11.54,1
9.64,4.61,1
12.68,11.39,1
11.65,4.63,1
10.95,12.42,1
10.12,6.73,1
10.24,4.64,1
9.68,8.32,1
10.07,5.6,1
5.91,5.17,1
6.25,9.11,1
11.33,7.11,1
11.86,6.67,1
9.19,8.11,1
4.35,3.25,1
6.23,8.97,1
10.17,7.43,1
9.2,10.63,1
9.79,9.73,1
11.87,6.5,1
10.22,11.75,1
8.09,12.12,1
9.11,3.1,1
4.25,11.64,1
4.42,12.94,1
9.06,11.35,1
6.27,7.53,1
11.58,11.94,1
3.18,5.62,1
9.09,12.8,1
12.95,9.23,1
4.66,3.62,1
9.84,7.8,1
10.84,10.8,1
3.43,10.36,1
9.65,8.89,1
11.25,11.49,1
11.08,10.0,1
6.94,3.88,1
12.06,7.49,1
8.09,12.26,1
5.28,3.67,1
12.7,11.13,1
12.57,5.15,1
11.73,11.05,1
10.68,3.54,1
5.62,6.85,1
8.42,3.85,1
6.36,3.96,1
12.45,7.42,1
3.05,8.19,1
6.23,11.56,1
8.42,7.96,1
10.29,3.46,1
5.24,7.4,1
4.79,11.34,1
7.09,3.48,1
5.08,12.35,1
5.03,9.99,1
8.68,12.51,1
12.61,6.76,1
7.97,11.14,1
4.63,12.77,1
6.34,8.78,1
11.52,7.83,1
6.38,5.13,1
9.68,8.75,1
8.49,11.04,1
10.35,12.16,1
4.4,6.47,1
3.62,8.26,1
5.39,4.62,1
11.97,6.71,1
7.19,10.83,1
7.62,8.24,1
3.89,3.82,1
11.06,3.56,1
11.56,5.96,1
3.93,4.02,1
7.79,8.56,1
7.94,6.68,1
7.61,8.34,1
3.07,10.69,1
7.46,10.76,1
12.32,10.11,1
8.46,6.83,1
7.62,3.29,1
7.26,10.46,1
10.98,8.17,1
8.01,4.41,1
8.01,7.8,1
11.56,4.33,1
6.11,10.89,1
8.74,12.1,1
8.15,7.4,1
3.09,11.4,1
3.36,10.3,1
4.47,11.02,1
11.28,10.81,1
9.37,3.73,1
11.17,5.68,1
5.18,11.63,1
8.86,12.23,1
5.86,12.02,1
5.54,8.63,1
3.62,11.33,1
7.82,4.7,1
6.66,8.62,1
6.78,10.88,1
6.1,4.16,1
4.12,11.37,1
6.4,3.09,1
7.42,10.69,1
11.89,9.06,1
12.85,11.52,1
9.14,7.73,1
12.76,5.91,1
8.77,5.29,1
7.87,10.85,1
12.89,3.26,1
8.36,4.39,1
4.21,6.38,1
6.15,7.78,1
10.58,7.06,1
10.77,4.91,1
4.59,6.46,1
4.84,10.44,1
11.13,9.08,1
11.01,4.28,1
7.06,5.18,1
11.36,10.93,1
6.45,12.94,1
11.92,8.8,1
11.32,9.96,1
9.25,6.6,1
12.95,12.24,1
3.94,10.69,1
11.03,7.0,1
5.36,9.99,1
8.4,4.69,1
5.62,12.71,1
7.13,4.77,1
6.0,12.03,1
7.83,9.0,1
8.04,6.64,1
7.68,6.22,1
12.59,5.27,1
4.23,12.13,1
4.81,3.7,1
11.6,8.56,1
9.5,6.75,1
12.65,6.91,1
11.69,7.69,1
5.89,11.9,1
9.54,12.14,1
8.66,12.67,1
12.38,3.91,1
8.66,10.51,1
4.94,5.88,1
4.61,3.7,1
9.77,9.61,1
12.64,3.0,1
4.13,3.96,1
9.69,3.31,1
3.95,4.04,1
6.4,10.22,1
7.19,8.97,1
12.3,3.41,1
11.42,8.89,1
3.1,12.14,1
5.3,9.13,1
5.64,12.17,1
11.86,12.13,1
8.8,7.53,1
12.15,5.92,1
10.0,4.79,1
11.6,11.09,1
5.27,12.74,1
7.48,7.11,1
7.86,4.92,1
5.56,12.75,1
4.4,8.31,1
5.74,4.54,1
10.04,6.84,1
11.46,12.09,1
3.93,4.75,1
5.2,8.75,1
4.12,10.8,1
3.21,11.53,1
6.85,11.29,1
5.31,4.68,1
8.41,6.68,1
12.41,7.16,1
9.04,3.81,1
12.7,5.51,1
7.61,3.46,1
9.56,10.01,1
12.44,10.83,1
8.69,3.95,1
8.49,4.56,1
9.16,12.85,1
3.58,8.83,1
3.58,12.93,1
6.68,11.5,1
5.2,5.89,1
9.45,10.63,1
5.72,10.12,1
7.98,11.13,1
6.31,6.82,1
5.75,3.16,1
5.51,3.14,1
10.18,3.7,1
11.97,3.59,1
4.46,3.48,1
7.37,5.01,1
3.92,11.98,1
3.98,10.41,1
10.64,4.14,1
4.93,11.49,1
3.47,4.01,1
9.83,10.19,1
10.62,11.96,1
7.33,5.07,1
10.99,4.3,1
7.0,9.16,1
6.28,6.17,1
6.89,12.23,1
10.17,11.29,1
9.84,11.7,1
12.74,5.09,1
11.21,3.52,1
7.86,10.88,1
3.06,6.14,1
9.08,12.24,1
4.79,8.39,1
4.47,8.72,1
8.56,4.69,1
4.37,6.01,1
8.23,9.1,1
6.78,6.25,1
4.55,3.1,1
3.77,8.96,1
5.27,10.69,1
9.14,7.99,1
8.68,8.28,1
11.78,5.6,1
10.47,6.41,1
11.3,10.14,1
9.23,4.53,1
12.65,10.04,1
3.08,10.53,1
4.26,3.15,1
10.95,11.48,1
9.8,7.07,1
4.65,12.89,1
7.15,3.04,1
4.69,9.53,1
9.35,3.26,1
11.05,12.18,1
11.54,9.28,1
12.4,10.85,1
4.66,6.57,1
11.47,7.34,1
11.31,9.1,1
11.59,6.58,1
11.91,5.94,1
10.0,8.96,1
9.33,10.81,1
5.87,3.56,1
8.66,4.7,1
7.44,5.12,1
4.23,11.2,1
10.68,6.06,1
10.35,3.81,1
3.8,8.6,1
3.32,4.57,1
5.77,10.78,1
11.83,4.1,1
4.32,4.86,1
10.19,3.29,1
8.6,5.77,1
3.65,8.44,1
4.38,12.67,1
7.84,12.64,1
5.19,6.42,1
5.44,7.93,1
11.06,11.86,1
10.9,4.86,1
7.54,4.18,1
11.03,8.13,1
11.84,5.1,1
12.91,9.84,1
9.28,6.2,1
12.48,4.37,1
3.22,3.04,1
7.14,12.76,1
3.58,6.54,1
12.86,7.23,1
4.56,4.85,1
11.87,10.96,1
9.92,12.11,1
9.99,12.07,1
5.09,8.47,1
3.7,5.19,1
8.91,8.96,1
5.76,8.96,1
4.37,7.59,1
4.75,12.8,1
6.65,7.22,1
8.37,11.6,1
9.15,4.6,1
12.38,12.87,1
12.8,5.18,1
7.23,6.76,1
11.76,11.63,1
12.23,5.81,1
8.94,5.8,1
12.57,7.86,1
8.22,3.96,1
8.21,12.53,1
6.34,11.29,1
4.73,9.03,1
6.1,12.76,1
5.33,10.58,1
4.7,3.84,1
10.18,8.49,1
5.12,6.55,1
3.83,7.55,1
6.02,3.3,1
4.05,12.41,1
5.93,3.36,1
5.71,3.94,1
10.14,4.87,1
11.46,3.23,1
4.76,7.85,1
6.98,10.87,1
11.07,12.51,1
12.22,8.5,1
4.32,10.54,1
11.7,9.89,1
5.82,6.21,1
6.31,9.26,1
3.95,8.33,1
6.25,5.12,1
9.58,3.8,1
9.73,9.06,1
4.16,8.37,1
4.88,10.17,1
4.12,10.48,1
3.05,7.53,1
3.58,9.65,1
9.89,4.93,1
8.4,11.68,1
7.25,4.73,1
8.6,9.21,1
12.49,9.66,1
12.88,7.51,1
4.25,5.07,1
8.48,12.42,1
12.88,6.57,1
11.9,9.3,1
11.71,12.16,1
11.49,9.2,1
10.35,11.36,1
10.4,11.62,1
4.39,8.25,1
9.68,10.62,1
7.08,9.69,1
4.42,5.21,1
6.82,4.69,1
12.83,12.8,1
11.49,6.25,1
6.69,9.2,1
4.44,12.06,1
4.33,7.52,1
9.6,6.37,1
11.59,3.07,1
12.98,11.41,1
4.33,11.41,1
5.52,12.77,1
6.05,11.7,1
8.35,10.28,1
8.1,8.27,1
4.34,12.4,1
5.39,9.1,1
11.63,9.8,1
9.9,11.17,1
3.58,11.08,1
5.89,8.92,1
6.53,11.76,1
5.13,4.11,1
11.6,5.73,1
8.0,12.5,1
9.0,6.79,1
6.31,4.79,1
3.93,7.01,1
6.89,7.65,1
11.13,7.56,1
10.51,3.15,1
11.01,7.18,1
9.48,3.62,1
4.27,3.28,1
8.77,12.5,1
3.34,10.8,1
9.41,10.74,1
8.32,4.13,1
10.29,12.69,1
12.48,8.39,1
4.22,5.05,1
7.17,7.2,1
6.65,7.14,1
8.96,5.46,1
11.2,11.42,1
12.41,7.42,1
4.11,8.3,1
10.4,12.0,1
11.13,10.52,1
9.96,9.99,1
4.14,8.3,1
6.03,9.98,1
11.4,8.04,1
7.0,3.0,1
5.21,4.32,1
5.95,8.96,1
12.71,6.68,1
8.82,11.57,1
11.03,10.55,1
6.12,12.17,1
5.86,4.13,1
7.89,7.2,1
3.19,11.11,1
12.64,8.26,1
7.83,12.71,1
9.73,8.81,1
8.51,10.89,1
11.14,6.26,1
8.67,8.81,1
3.05,4.07,1
4.06,3.8,1
9.95,3.66,1
3.33,12.8,1
3.64,12.43,1
4.96,10.13,1
7.88,10.27,1
5.06,12.59,1
4.41,3.55,1
3.09,7.7,1
10.15,12.83,1
9.42,6.47,1
6.18,7.47,1
6.86,3.49,1
8.39,8.01,1
10.57,3.46,1
6.58,5.37,1
4.99,5.29,1
3.31,3.62,1
3.86,11.74,1
6.66,12.07,1
9.65,5.27,1
10.87,10.9,1
11.46,8.39,1
7.52,4.13,1
6.73,9.81,1
5.47,12.58,1
9.93,6.14,1
11.63,9.92,1
3.71,12.62,1
6.29,4.49,1
11.5,5.15,1
6.11,10.24,1
7.89,10.46,1
4.93,10.7,1
3.14,10.65,1
7.7,11.06,1
10.35,3.42,1
5.69,4.65,1
9.91,9.49,1
11.59,11.86,1
3.54,4.2,1
11.73,11.41,1
11.84,11.34,1
8.9,6.18,1
12.8,3.22,1
3.12,8.56,1
5.78,12.64,1
9.98,12.84,1
4.65,9.12,1
5.36,5.74,1
6.51,4.01,1
3.35,9.43,1
7.29,6.35,1
9.22,5.41,1
3.58,4.25,1
12.37,11.62,1
11.03,4.5,1
5.49,9.8,1
12.92,6.61,1
4.46,4.68,1
9.15,6.08,1
10.5,11.78,1
5.11,5.56,1
10.13,6.09,1
11.87,12.34,1
11.01,9.39,1
4.0,4.53,1
11.42,10.25,1
8.97,8.89,1
9.31,6.84,1
12.67,8.04,1
12.09,9.47,1
8.73,5.62,1
12.16,6.88,1
5.55,3.69,1
4.21,7.14,1
3.73,7.87,1
9.39,12.14,1
8.5,12.27,1
8.49,12.15,1
6.14,8.09,1
10.8,5.37,1
10.77,6.6,1
7.92,5.72,1
8.08,10.18,1
12.15,11.28,1
5.59,12.3,1
7.05,4.45,1
4.7,10.65,1
3.92,4.93,1
8.48,6.14,1
11.62,5.9,1
10.54,3.67,1
8.61,4.18,1
4.69,10.19,1
5.76,5.45,1
11.76,9.4,1
5.26,6.27,1
10.23,12.27,1
6.49,5.78,1
9.85,7.5,1
11.98,11.15,1
12.66,6.1,1
7.71,12.72,1
4.54,10.21,1
10.11,6.43,1
11.15,6.58,1
8.49,3.77,1
6.26,11.97,1
5.9,11.67,1
7.1,8.58,1
12.79,8.08,1
10.97,4.96,1
8.25,11.86,1
9.59,9.67,1
10.39,9.2,1
12.92,12.42,1
3.38,12.87,1
12.25,10.25,1
11.28,4.33,1
12.86,4.34,1
10.11,3.62,1
10.55,6.39,1
8.18,6.41,1
12.33,12.18,1
11.4,12.78,1
11.23,3.89,1
4.41,7.87,1
6.76,12.27,1
11.03,9.86,1
7.91,3.95,1
6.97,7.24,1
12.73,9.66,1
6.08,3.28,1
9.49,3.81,1
6.8,12.46,1
7.29,6.91,1
8.76,10.52,1
10.44,7.87,1
11.25,7.16,1
9.63,4.61,1
3.7,7.77,1
4.62,7.6,1
5.77,8.78,1
8.03,3.27,1
9.01,9.23,1
6.63,10.76,1
4.59,9.68,1
7.34,8.3,1
12.18,8.57,1
7.43,3.23,1
12.7,5.12,1
4.95,12.48,1
4.27,7.48,1
3.24,8.98,1
3.75,4.41,1
5.53,3.03,1
8.38,9.09,1
9.29,6.5,1
11.15,3.93,1
7.38,12.51,1
10.79,5.98,1
12.69,12.16,1
12.15,3.46,1
5.84,5.53,1
5.96,5.65,1
10.78,3.86,1
6.97,9.42,1
11.49,5.7,1
8.6,8.24,1
4.26,10.52,1
7.88,11.44,1
3.55,9.65,1
8.99,4.11,1
6.64,5.55,1
5.34,11.07,1
11.36,7.71,1
9.89,11.43,1
4.02,5.1,1
10.99,3.8,1
9.23,12.96,1
6.15,6.13,1
11.99,4.09,1
9.67,8.23,1
12.55,3.18,1
10.37,9.41,1
8.58,5.81,1
5.25,8.77,1
5.49,12.63,1
10.64,10.26,1
4.88,3.17,1
7.45,10.54,1
3.2,12.96,1
8.89,3.03,1
7.63,12.34,1
9.37,7.74,1
3.75,5.31,1
10.72,12.68,1
10.05,11.85,1
8.02,9.47,1
7.75,7.91,1
10.24,12.6,1
10.29,12.92,1
12.53,9.05,1
6.01,6.11,1
5.96,12.7,1
9.03,9.1,1
7.24,5.77,1
8.05,4.34,1
6.04,7.66,1
10.18,5.93,1
9.45,10.34,1
6.76,11.74,1
4.1,7.98,1
11.56,3.74,1
4.06,7.84,1
7.2,6.08,1
8.85,8.89,1
4.36,9.35,1
9.74,4.35,1
9.78,12.69,1
3.65,4.48,1
3.24,4.68,1
4.01,6.24,1
10.73,8.04,1
4.45,7.36,1
11.0,3.1,1
6.76,3.19,1
5.13,9.57,1
7.04,6.13,1
4.49,6.56,1
4.65,8.99,1
10.49,6.52,1
7.2,5.89,1
10.88,9.21,1
10.89,6.08,1
11.08,8.47,1
9.54,9.21,1
5.82,5.7,1
7.86,12.98,1
5.97,11.0,1
3.71,7.7,1
7.66,4.79,1
12.13,5.58,1
6.1,10.52,1
8.81,6.54,1
4.34,11.42,1
4.12,6.3,1
8.19,12.58,1
9.53,7.29,1
11.93,12.96,1
7.23,7.3,1
5.93,10.51,1
10.07,6.24,1
6.62,7.72,1
3.6,6.54,1
11.16,4.04,1
4.09,8.51,1
4.06,6.52,1
6.16,8.06,1
10.63,9.55,1
12.01,10.39,1
12.8,10.29,1
9.32,10.1,1
5.84,6.48,1
8.76,4.9,1
10.84,9.56,1
12.98,7.57,1
6.71,6.92,1
8.31,8.29,1
6.98,3.88,1
7.05,7.45,1
11.61,7.54,1
3.13,7.22,1
10.93,11.87,1
6.21,8.56,1
9.28,6.01,1
9.84,9.51,1
8.95,5.06,1
7.24,9.38,1
10.41,6.24,1
4.36,3.2,1
4.03,11.21,1
3.5,10.35,1
9.27,9.3,1
12.53,11.65,1
12.15,5.24,1
3.86,9.23,1
8.25,9.48,1
4.82,4.59,1
8.92,8.45,1
5.83,11.0,1
10.62,7.5,1
5.89,7.81,1
12.96,9.15,1
5.08,6.05,1
9.38,5.03,1
12.76,6.35,1
5.27,10.52,1
6.03,12.81,1
12.58,7.77,1
7.21,8.84,1
6.24,3.59,1
10.91,3.83,1
7.92,6.19,1
11.25,3.08,1
4.18,6.29,1
6.76,6.4,1
12.01,6.05,1
6.39,5.21,1
12.23,11.56,1
12.81,11.62,1
12.12,3.06,1
10.24,7.74,1
12.57,10.21,1
12.9,8.2,1
10.78,8.49,1
6.52,3.76,1
9.63,6.76,1
10.09,9.66,1
6.08,5.38,1
6.78,7.55,1
6.35,8.85,1
3.34,6.45,1
3.07,6.96,1
4.99,4.03,1
10.09,3.42,1
8.33,6.49,1
4.0,11.98,1
8.38,12.08,1
7.37,5.31,1
7.22,10.68,1
7.88,3.68,1
10.41,9.39,1
8.91,6.48,1
4.65,12.02,1
12.08,11.85,1
4.63,8.65,1
9.17,6.43,1
9.53,9.65,1
11.46,9.97,1
10.06,7.9,1
7.02,7.11,1
4.97,11.62,1
12.79,11.76,1
11.87,9.87,1
6.47,7.87,1
11.15,12.73,1
4.83,4.08,1
3.11,7.89,1
9.32,8.65,1
8.08,6.11,1
6.88,5.58,1
6.1,8.51,1
3.54,12.1,1
8.33,9.88,1
11.31,3.09,1
4.44,3.23,1
4.25,7.8,1
11.67,12.8,1
7.71,10.07,1
9.01,4.48,1
6.25,4.14,1
6.54,4.95,1
9.15,4.01,1
4.14,3.36,1
9.67,6.22,1
5.37,12.48,1
3.33,12.39,1
12.19,9.12,1
3.02,10.21,1
3.76,7.55,1
4.08,8.85,1
7.7,3.06,1
10.02,7.51,1
5.49,7.36,1
10.9,4.15,1
4.52,11.69,1
9.49,4.27,1
8.19,8.41,1
7.05,8.88,1
11.84,6.91,1
9.78,4.47,1
6.92,5.03,1
8.86,7.07,1
7.72,3.07,1
11.96,7.29,1
5.34,3.15,1
11.88,13.0,1
10.99,3.51,1
8.22,11.75,1
6.73,3.39,1
11.43,5.24,1
5.02,11.71,1
4.71,4.51,1
9.57,9.57,1
8.05,5.15,1
9.43,4.4,1
10.41,8.85,1
4.85,11.51,1
10.79,9.0,1
8.05,6.83,1
6.01,5.48,1
5.02,3.4,1
3.43,5.86,1
4.2,12.71,1
9.58,8.48,1
6.53,11.51,1
11.76,5.41,1
6.87,3.76,1
7.97,11.92,1
10.98,7.54,1
12.12,12.89,1
3.49,6.56,1
5.69,5.28,1
11.83,6.43,1
4.01,10.3,1
8.16,6.6,1
5.19,8.53,1
6.65,9.8,1
12.32,6.0,1
5.86,12.17,1
5.35,9.81,1
6.93,9.03,1
6.8,6.98,1
6.59,3.06,1
7.14,11.55,1
10.32,4.02,1
9.24,10.78,1
5.01,11.68,1
8.03,3.02,1
12.42,6.61,1
11.27,6.47,1
4.34,6.54,1
9.42,10.22,1
7.97,9.8,1
7.98,6.57,1
5.31,10.74,1
3.5,5.97,1
3.48,6.75,1
5.32,4.39,1
3.78,10.43,1
8.73,6.13,1
6.28,5.6,1
11.58,3.59,1
12.91,10.78,1
5.61,9.95,1
6.94,9.12,1
5.91,9.48,1
8.35,9.61,1
6.65,5.31,1
5.04,10.36,1
8.99,4.0,1
7.55,11.02,1
7.37,11.93,1
10.32,8.14,1
4.02,8.61,1
6.51,4.26,1
7.22,8.29,1
4.03,8.62,1
8.11,12.22,1
10.05,5.24,1
12.25,10.39,1
7.74,11.76,1
7.08,3.49,1
4.02,10.8,1
3.33,12.96,1
9.23,4.05,1
8.94,9.28,1
10.45,8.23,1
6.87,6.46,1
7.77,11.09,1
3.97,3.97,1
9.19,5.12,1
6.83,5.26,1
3.5,6.54,1
11.67,6.22,1
11.8,7.0,1
9.87,5.45,1
8.13,6.07,1
7.53,12.89,1
6.45,12.99,1
7.52,12.75,1
6.66,7.68,1
4.86,11.74,1
4.61,11.7,1
12.16,3.72,1
12.4,12.12,1
9.64,7.6,1
3.01,12.76,1
5.84,6.03,1
9.99,9.79,1
8.66,8.76,1
7.01,11.24,1
3.42,5.86,1
3.61,12.75,1
3.83,3.01,1
3.66,5.2,1
4.42,3.03,1
10.16,3.38,1
8.04,5.28,1
5.54,8.72,1
9.85,7.3,1
9.67,3.14,1
10.38,11.3,1
8.82,5.66,1
3.39,11.09,1
7.5,8.11,1
11.1,4.16,1
11.58,11.49,1
8.31,7.22,1
5.81,9.71,1
9.09,3.2,1
10.69,3.38,1
4.46,11.96,1
3.78,12.22,1
7.39,7.15,1
8.5,11.0,1
11.64,6.82,1
8.93,10.66,1
4.41,5.9,1
12.55,3.08,1
8.81,4.6,1
4.34,5.43,1
11.28,7.91,1
4.45,7.35,1
10.35,7.93,1
8.77,12.49,1
8.25,12.52,1
6.3,3.73,1
3.8,10.89,1
9.68,10.31,1
5.36,9.21,1
5.77,3.56,1
5.54,7.0,1
11.11,7.49,1
5.3,8.19,1
3.08,9.6,1
3.41,9.1,1
11.41,7.18,1
8.88,9.17,1
6.15,4.62,1
8.15,9.42,1
7.79,7.25,1
5.81,7.8,1
12.11,8.46,1
7.47,10.33,1
7.66,7.4,1
6.25,11.67,1
6.39,6.16,1
9.51,9.2,1
8.73,7.04,1
11.01,10.25,1
12.67,12.13,1
4.77,12.7,1
12.88,10.19,1
10.57,5.78,1
9.82,7.99,1
8.1,9.01,1
10.77,6.28,1
6.03,4.36,1
4.23,4.09,1
4.83,8.43,1
7.07,7.97,1
7.15,9.36,1
8.46,7.21,1
7.7,5.55,1
8.51,9.96,1
5.34,11.38,1
9.82,9.49,1
3.58,8.78,1
9.42,5.03,1
12.15,11.75,1
4.74,6.2,1
11.75,5.26,1
12.03,5.96,1
5.76,9.08,1
7.44,12.25,1
7.71,11.85,1
11.32,4.86,1
11.21,10.52,1
3.94,10.19,1
9.08,5.46,1
6.49,3.45,1
11.96,12.46,1
4.74,4.46,1
12.92,8.2,1
3.89,10.82,1
3.15,7.33,1
12.32,9.69,1
5.8,5.73,1
8.69,7.22,1
9.59,6.06,1
11.81,12.97,1
10.9,9.3,1
4.81,5.36,1
3.63,7.99,1
5.86,12.56,1
8.65,4.73,1
5.56,12.94,1
10.85,12.85,1
7.17,8.26,1
10.09,3.96,1
9.61,12.66,1
3.97,11.45,1
4.68,10.81,1
4.48,7.35,1
9.48,8.53,1
7.67,4.75,1
11.88,10.45,1
5.27,7.42,1
12.4,9.81,1
9.91,3.05,1
8.16,7.18,1
11.11,7.14,1
5.61,6.33,1
7.37,9.76,1
6.84,7.64,1
10.9,8.45,1
10.98,11.42,1
5.48,6.76,1
5.65,6.4,1
4.49,9.22,1
6.06,11.4,1
5.91,10.61,1
8.28,11.39,1
3.27,9.24,1
11.37,12.72,1
6.82,11.61,1
7.93,6.22,1
7.05,8.45,1
6.05,10.71,1
3.67,10.14,1
6.34,4.44,1
6.46,3.11,1
6.77,6.14,1
11.14,7.15,1
4.28,3.07,1
12.46,7.96,1
6.9,8.34,1
8.74,8.19,1
11.91,5.73,1
7.03,5.15,1
5.9,6.35,1
5.68,3.03,1
10.2,7.6,1
11.61,3.05,1
10.98,11.62,1
12.77,5.09,1
6.54,7.55,1
12.54,10.63,1
5.81,8.82,1
11.65,7.74,1
10.87,4.77,1
4.87,5.48,1
3.58,3.33,1
4.35,6.82,1
10.58,9.99,1
8.88,6.32,1
4.02,6.82,1
8.32,11.34,1
5.2,3.86,1
5.7,13.0,1
6.69,4.74,1
4.97,6.69,1
4.46,7.55,1
11.32,9.66,1
5.19,11.87,1
12.03,7.4,1
5.55,3.01,1
10.46,9.36,1
9.66,4.81,1
12.44,8.7,1
8.14,3.04,1
4.43,10.69,1
7.08,12.73,1
5.36,8.99,1
